"","Recruit_ID","Treatment","Tank","Day","polyp_area","nDay"
"372","1085","DHE","T3","11",0.207,11
"373","1085","DHE","T3","18",0.278,18
"374","1085","DHE","T3","24",0.329,24
"375","1085","DHE","T3","38",0.537,38
"376","1085","DHE","T3","46",1.094,46
"377","1085","DHE","T3","54",1.281,54
"378","1085","DHE","T3","60",1.816,60
"379","1085","DHE","T3","67",2.07,67
"380","1086","DHE","T3","11",0.192,11
"381","1086","DHE","T3","18",0.218,18
"382","1086","DHE","T3","24",0.186,24
"383","1086","DHE","T3","38",0.231,38
"384","1086","DHE","T3","46",0.514,46
"385","1086","DHE","T3","54",0.637,54
"386","1086","DHE","T3","60",0.746,60
"387","1086","DHE","T3","67",0.965,67
"388","1087","DHE","T3","11",0.269,11
"389","1087","DHE","T3","18",0.348,18
"390","1087","DHE","T3","24",0.413,24
"391","1087","DHE","T3","38",0.525,38
"392","1087","DHE","T3","46",1.289,46
"393","1087","DHE","T3","54",1.817,54
"394","1087","DHE","T3","60",2.434,60
"395","1087","DHE","T3","67",2.777,67
"396","1088","DHE","T3","11",0.176,11
"397","1088","DHE","T3","18",0.168,18
"398","1088","DHE","T3","24",0.16,24
"399","1088","DHE","T3","38",0.158,38
"400","1088","DHE","T3","46",0.282,46
"401","1088","DHE","T3","54",0.343,54
"402","1088","DHE","T3","60",0.436,60
"403","1088","DHE","T3","67",0.493,67
"404","1089","DHE","T3","11",0.196,11
"405","1089","DHE","T3","18",0.206,18
"406","1089","DHE","T3","24",0.227,24
"407","1090","DHE","T3","11",0.064,11
"408","1090","DHE","T3","18",0.096,18
"409","1090","DHE","T3","24",0.109,24
"410","1091","DHE","T3","11",0.131,11
"411","1091","DHE","T3","18",0.202,18
"412","1091","DHE","T3","24",0.207,24
"413","1091","DHE","T3","38",0.137,38
"414","1091","DHE","T3","46",0.306,46
"415","1091","DHE","T3","54",0.353,54
"416","1091","DHE","T3","60",0.541,60
"417","1091","DHE","T3","67",0.762,67
"418","1092","DHE","T3","11",0.277,11
"419","1092","DHE","T3","18",0.296,18
"420","1092","DHE","T3","24",0.29,24
"421","1092","DHE","T3","38",0.472,38
"422","1092","DHE","T3","46",0.627,46
"423","1092","DHE","T3","54",0.764,54
"424","1092","DHE","T3","60",1.022,60
"425","1092","DHE","T3","67",1.199,67
"426","1093","DHE","T3","11",0.087,11
"427","1093","DHE","T3","18",0.104,18
"428","1093","DHE","T3","24",0.103,24
"429","1100","DHE","T3","11",0.135,11
"430","1101","DHE","T3","11",0.123,11
"431","1103","DHE","T3","11",0.324,11
"432","1104","DHE","T3","11",0.146,11
"433","1105","DHE","T3","11",0.129,11
"434","1106","DHE","T3","11",0.481,11
"435","1107","DHE","T3","11",0.218,11
"436","1108","DHE","T3","11",0.172,11
"437","1109","DHE","T3","11",0.316,11
"438","1110","DHE","T3","11",0.167,11
